SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;Alignment;KeepLinesTogether;KeepWithNext;LeftIndentation;LineSpacing;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore;RightIndentation;SpaceAfter;SpaceBefore;SpecialIndentation
2;13;106;ЛОЖЬ;ЛОЖЬ;;Таблица;c0;f1;e1;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;0
15;72;587;ЛОЖЬ;ЛОЖЬ;.;;e1;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
2;6;55;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
7;33;184;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ИСТИНА;BodyText;ЛОЖЬ;0;0;0;-35.45
3;11;97;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ИСТИНА;BodyText;ЛОЖЬ;0;0;0;-35.45
12;50;436;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ИСТИНА;BodyText;ЛОЖЬ;0;0;0;-35.45
4;26;214;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;g1;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ИСТИНА;BodyText;ЛОЖЬ;0;0;0;-35.45
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;c0;g1;h1;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.079166667;ЛОЖЬ;BodyText;ЛОЖЬ;0;8;0;0
3;13;110;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
9;58;442;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ИСТИНА;BodyText;ЛОЖЬ;0;0;0;-35.45
10;60;495;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;g1;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ИСТИНА;BodyText;ЛОЖЬ;0;0;0;-35.45
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;c0;g1;h1;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.079166667;ЛОЖЬ;BodyText;ЛОЖЬ;0;8;0;0
4;19;169;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
4;17;103;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;g1;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;c0;g1;h1;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
3;16;135;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
4;28;207;ЛОЖЬ;ЛОЖЬ;.;;h1;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
32;88;598;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;g1;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
0;2;16;ЛОЖЬ;ИСТИНА;;PRESERVED;c0;g1;h1;ЛОЖЬ;ЛОЖЬ;Left;ЛОЖЬ;ЛОЖЬ;0;1.079166667;ЛОЖЬ;BodyText;ЛОЖЬ;0;8;0;0
1;12;103;ЛОЖЬ;ЛОЖЬ;;Рисунок;g1;h1;c0;ЛОЖЬ;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
10;52;481;ЛОЖЬ;ЛОЖЬ;;;h1;c0;b1;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
0;4;17;ЛОЖЬ;ИСТИНА;;;c0;b1;c0;ИСТИНА;ЛОЖЬ;Center;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;Level2;ЛОЖЬ;0;0;0;-35.45
3;33;317;ЛОЖЬ;ЛОЖЬ;.;;b1;c0;c0;ЛОЖЬ;ЛОЖЬ;Justify;ЛОЖЬ;ЛОЖЬ;0;1.5;ЛОЖЬ;BodyText;ЛОЖЬ;0;0;0;-35.45
