SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;Alignment;KeepLinesTogether;KeepWithNext;1Indentation;LineSpacing;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore;RightIndentation;SpaceAfter;SpaceBefore;SpecialIndentation
1;10;77;0;0;1;6;0;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;6;31;1;0;2;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;9;77;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
5;8;64;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;12;90;1;0;0;1;2;2;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;16;126;0;0;0;6;2;0;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;3;19;0;0;3;2;0;3;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
5;20;170;0;0;0;6;3;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;16;134;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;1;8;0;0;1;6;0;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;4;28;0;0;3;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;2;11;0;0;3;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;3;16;0;0;3;1;2;2;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;37;255;0;0;0;6;2;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;6;50;0;0;1;6;0;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;5;27;1;0;2;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;4;34;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;5;33;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;17;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;18;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;24;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;5;30;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;5;27;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;19;1;0;0;1;2;2;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
7;31;232;0;0;0;6;2;0;3;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
0;4;17;0;0;3;6;0;3;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
12;63;504;0;0;0;6;3;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;16;132;0;0;0;6;0;0;1;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
0;13;97;0;0;3;0;0;1;1;1;0;2;0;1;0;1.5;0;2;0;0;0;0;-35.45
2;2;10;0;0;3;6;1;1;3;1;0;2;0;1;0;1.5;0;2;0;0;0;0;0
